Itération 133, nodeeco: 91
Itération 132, nodeeco: 92
Itération 131, nodeeco: 98
Itération 130, nodeeco: 95
Itération 129, nodeeco: 90
Itération 128, nodeeco: 88
Itération 127, nodeeco: 88
Itération 126, nodeeco: 95
Itération 125, nodeeco: 87
Itération 124, nodeeco: 77
Itération 123, nodeeco: 73
Itération 122, nodeeco: 83
Itération 121, nodeeco: 82
Itération 120, nodeeco: 87
Itération 119, nodeeco: 89
Itération 118, nodeeco: 78
Itération 117, nodeeco: 68
Itération 116, nodeeco: 81
Itération 115, nodeeco: 74
Itération 114, nodeeco: 72
Itération 113, nodeeco: 80
Itération 112, nodeeco: 71
Itération 111, nodeeco: 70
Itération 110, nodeeco: 86
Itération 109, nodeeco: 77
Itération 108, nodeeco: 66
Itération 107, nodeeco: 69
Itération 106, nodeeco: 66
Itération 105, nodeeco: 72
Itération 104, nodeeco: 82
Itération 103, nodeeco: 64
Itération 102, nodeeco: 69
Itération 101, nodeeco: 65
Itération 100, nodeeco: 62
Itération 99, nodeeco: 60
Itération 98, nodeeco: 63
Itération 97, nodeeco: 62
Itération 96, nodeeco: 61
Itération 95, nodeeco: 64
Itération 94, nodeeco: 60
Itération 93, nodeeco: 68
Itération 92, nodeeco: 72
Itération 91, nodeeco: 58
Itération 90, nodeeco: 69
Itération 89, nodeeco: 61
Itération 88, nodeeco: 57
Itération 87, nodeeco: 57
Itération 86, nodeeco: 57
Itération 85, nodeeco: 54
Itération 84, nodeeco: 50
Itération 83, nodeeco: 65
Itération 82, nodeeco: 61
Itération 81, nodeeco: 45
Itération 80, nodeeco: 61
Itération 79, nodeeco: 48
Itération 78, nodeeco: 45
Itération 77, nodeeco: 43
Itération 76, nodeeco: 54
Itération 75, nodeeco: 44
Itération 74, nodeeco: 49
Itération 73, nodeeco: 48
Itération 72, nodeeco: 47
Itération 71, nodeeco: 47
Itération 70, nodeeco: 48
Itération 69, nodeeco: 43
Itération 68, nodeeco: 36
Itération 67, nodeeco: 41
Itération 66, nodeeco: 50
Itération 65, nodeeco: 48
Itération 64, nodeeco: 43
Itération 63, nodeeco: 35
Itération 62, nodeeco: 33
Itération 61, nodeeco: 44
Itération 60, nodeeco: 37
Itération 59, nodeeco: 42
Itération 58, nodeeco: 46
Itération 57, nodeeco: 36
Itération 56, nodeeco: 36
Itération 55, nodeeco: 44
Itération 54, nodeeco: 30
Itération 53, nodeeco: 30
Itération 52, nodeeco: 30
Itération 51, nodeeco: 35
Itération 50, nodeeco: 34
Itération 49, nodeeco: 30
Itération 48, nodeeco: 37
Itération 47, nodeeco: 31
Itération 46, nodeeco: 30
Itération 45, nodeeco: 31
Itération 44, nodeeco: 31
Itération 43, nodeeco: 28
Itération 42, nodeeco: 21
Itération 41, nodeeco: 26
Itération 40, nodeeco: 31
Itération 39, nodeeco: 25
Itération 38, nodeeco: 24
Itération 37, nodeeco: 24
Itération 36, nodeeco: 26
Itération 35, nodeeco: 26
Itération 34, nodeeco: 21
Itération 33, nodeeco: 25
Itération 32, nodeeco: 24
Itération 31, nodeeco: 20
Itération 30, nodeeco: 19
Itération 29, nodeeco: 20
Itération 28, nodeeco: 18
Itération 27, nodeeco: 20
Itération 26, nodeeco: 17
Itération 25, nodeeco: 18
Itération 24, nodeeco: 14
Itération 23, nodeeco: 17
Itération 22, nodeeco: 14
Itération 21, nodeeco: 12
Itération 20, nodeeco: 12
Itération 19, nodeeco: 7
Itération 18, nodeeco: 14
Itération 17, nodeeco: 7
Itération 16, nodeeco: 12
Itération 15, nodeeco: 6
