Itération 110, nodeeco: 127
Itération 109, nodeeco: 127
Itération 108, nodeeco: 127
Itération 107, nodeeco: 127
Itération 106, nodeeco: 127
Itération 105, nodeeco: 127
Itération 104, nodeeco: 127
Itération 103, nodeeco: 127
Itération 102, nodeeco: 127
Itération 101, nodeeco: 127
Itération 100, nodeeco: 127
Itération 99, nodeeco: 127
Itération 98, nodeeco: 127
Itération 97, nodeeco: 127
Itération 96, nodeeco: 127
Itération 95, nodeeco: 127
Itération 94, nodeeco: 127
Itération 93, nodeeco: 127
Itération 92, nodeeco: 127
Itération 91, nodeeco: 127
Itération 90, nodeeco: 127
Itération 89, nodeeco: 127
Itération 88, nodeeco: 127
Itération 87, nodeeco: 127
Itération 86, nodeeco: 127
Itération 85, nodeeco: 127
Itération 84, nodeeco: 127
Itération 83, nodeeco: 127
Itération 82, nodeeco: 127
Itération 81, nodeeco: 127
Itération 80, nodeeco: 127
Itération 79, nodeeco: 127
Itération 78, nodeeco: 127
Itération 77, nodeeco: 127
Itération 76, nodeeco: 127
Itération 75, nodeeco: 127
Itération 74, nodeeco: 127
Itération 73, nodeeco: 127
Itération 72, nodeeco: 127
Itération 71, nodeeco: 127
Itération 70, nodeeco: 127
Itération 69, nodeeco: 63
Itération 68, nodeeco: 127
Itération 67, nodeeco: 63
Itération 66, nodeeco: 127
Itération 65, nodeeco: 63
Itération 64, nodeeco: 63
Itération 63, nodeeco: 63
Itération 62, nodeeco: 63
Itération 61, nodeeco: 63
Itération 60, nodeeco: 63
Itération 59, nodeeco: 63
Itération 58, nodeeco: 63
Itération 57, nodeeco: 63
Itération 56, nodeeco: 63
Itération 55, nodeeco: 63
Itération 54, nodeeco: 63
Itération 53, nodeeco: 63
Itération 52, nodeeco: 63
Itération 51, nodeeco: 63
Itération 50, nodeeco: 63
Itération 49, nodeeco: 63
Itération 48, nodeeco: 63
Itération 47, nodeeco: 63
Itération 46, nodeeco: 63
Itération 45, nodeeco: 63
Itération 44, nodeeco: 63
Itération 43, nodeeco: 63
Itération 42, nodeeco: 63
Itération 41, nodeeco: 63
Itération 40, nodeeco: 63
Itération 39, nodeeco: 63
Itération 38, nodeeco: 63
Itération 37, nodeeco: 63
Itération 36, nodeeco: 63
Itération 35, nodeeco: 63
Itération 34, nodeeco: 63
Itération 33, nodeeco: 63
Itération 32, nodeeco: 31
Itération 31, nodeeco: 31
Itération 30, nodeeco: 31
Itération 29, nodeeco: 31
Itération 28, nodeeco: 31
Itération 27, nodeeco: 31
Itération 26, nodeeco: 31
Itération 25, nodeeco: 31
Itération 24, nodeeco: 31
Itération 23, nodeeco: 31
Itération 22, nodeeco: 31
Itération 21, nodeeco: 31
Itération 20, nodeeco: 31
Itération 19, nodeeco: 15
Itération 18, nodeeco: 31
Itération 17, nodeeco: 15
Itération 16, nodeeco: 15
Itération 15, nodeeco: 15
Itération 14, nodeeco: 15
Itération 13, nodeeco: 15
Itération 12, nodeeco: 15
Itération 11, nodeeco: 15
Itération 10, nodeeco: 15
Itération 9, nodeeco: 15
Itération 8, nodeeco: 7
Itération 7, nodeeco: 7
Itération 6, nodeeco: 7
Itération 5, nodeeco: 3
Itération 4, nodeeco: 3
Itération 3, nodeeco: 1
Itération 2, nodeeco: 1
Itération 1, nodeeco: 1
